date,goalCompletionLocation,goalPreviousStep1,goalPreviousStep2,goal3Completions,goal5Completions
2019-01-21,/courses/professional-software-development/thank-you-syllabus-download/,/courses/professional-software-development/,/courses/professional-software-development/career-support/,0,1
2019-01-21,/courses/professional-software-development/thank-you-syllabus-download/,/courses/professional-software-development/,/courses/professional-software-development/curriculum/,0,1
2019-01-21,/courses/professional-software-development/thank-you-syllabus-download/,/courses/professional-software-development/apply/,/courses/professional-software-development/,0,1
2019-01-21,/enquire/thank-you-for-your-enquiry/,/enquire/,/courses/professional-software-development/application-and-dates/,0,1
2019-01-21,/enquire/thank-you-for-your-enquiry/,/for-employers/become-a-partner/,/for-employers/,0,0
2019-01-22,/courses/professional-software-development/thank-you-syllabus-download/,/courses/professional-software-development/,/courses/professional-software-development/curriculum/,0,1
2019-01-22,/courses/thank-you-for-joining-our-short-course/,/courses/r-programming/,/enquire/,0,0
2019-01-22,/courses/thank-you-for-your-application/,(entrance),(not set),0,0
2019-01-22,/updates/newsletter-thank-you/,/,/blog/,0,1
2019-01-22,/updates/newsletter-thank-you/,/,/courses/browse-all-course-dates/,0,0
2019-01-23,/courses/professional-software-development/thank-you-syllabus-download/,/courses/professional-software-development/,(entrance),0,2
2019-01-23,/courses/professional-software-development/thank-you-syllabus-download/,/courses/professional-software-development/,/,1,0
2019-01-23,/courses/professional-software-development/thank-you-syllabus-download/,/courses/professional-software-development/,/courses/professional-software-development/curriculum/,0,0
2019-01-24,/courses/professional-software-development/thank-you-syllabus-download/,/courses/professional-software-development/,(entrance),0,1
2019-01-24,/courses/professional-software-development/thank-you-syllabus-download/,/courses/professional-software-development/,/courses/professional-software-development/apply/,0,0
2019-01-24,/courses/thank-you-for-joining-our-short-course/,/courses/r-programming/,/courses/,0,0
2019-01-24,/courses/thank-you-for-joining-our-short-course/?uxfund=,/courses/ux-design-fundamentals/,(entrance),0,1
2019-01-25,/courses/professional-software-development/thank-you-syllabus-download/,/courses/professional-software-development/,(entrance),0,0
2019-01-25,/courses/professional-software-development/thank-you-syllabus-download/,/courses/professional-software-development/,/courses/professional-software-development/curriculum/,0,0
2019-01-25,/courses/thank-you-for-your-application/,(entrance),(not set),0,0
2019-01-25,/courses/thank-you-for-your-application/,/courses/professional-software-development/apply/course_application_2,/courses/professional-software-development/apply/course_application_1,0,0
2019-01-25,/enquire/thank-you-for-your-enquiry/,/enquire/,(entrance),0,0
2019-01-25,/enquire/thank-you-for-your-enquiry/,/enquire/,/events/info-taster-session-events/,0,0
2019-01-25,/updates/newsletter-thank-you/,/,(entrance),0,0
2019-01-26,/courses/professional-software-development/thank-you-syllabus-download/,/courses/professional-software-development/,(entrance),1,0
2019-01-26,/courses/professional-software-development/thank-you-syllabus-download/,/courses/professional-software-development/,/,0,0
2019-01-26,/courses/professional-software-development/thank-you-syllabus-download/,/courses/professional-software-development/,/courses/professional-software-development/curriculum/,0,0
2019-01-26,/courses/thank-you-for-joining-our-short-course/,/courses/r-programming/,/courses/browse-all-course-dates/,1,0
2019-01-26,/enquire/thank-you-for-your-enquiry/,/enquire/,/,0,0
2019-01-27,/courses/professional-software-development/thank-you-syllabus-download/,/courses/professional-software-development/,/,1,0
2019-01-27,/courses/professional-software-development/thank-you-syllabus-download/,/courses/professional-software-development/,/courses/professional-software-development/curriculum/,2,3
2019-01-27,/courses/thank-you-for-joining-our-short-course/,(entrance),(not set),1,0
2019-01-27,/enquire/thank-you-for-your-enquiry/,/enquire/,(entrance),1,0
2019-01-27,/updates/newsletter-thank-you/,/,(entrance),0,0
2019-01-28,/courses/professional-software-development/thank-you-syllabus-download/,/courses/professional-software-development/,(entrance),0,0
2019-01-28,/courses/professional-software-development/thank-you-syllabus-download/,/courses/professional-software-development/,/courses/,0,0
2019-01-28,/courses/professional-software-development/thank-you-syllabus-download/,/courses/professional-software-development/,/courses/professional-software-development/curriculum/,0,0
2019-01-28,/courses/professional-software-development/thank-you-syllabus-download/,/courses/professional-software-development/,/courses/understanding-programming/,0,1
2019-01-28,/courses/thank-you-for-joining-our-short-course/,/courses/r-programming/,/courses/,0,0
2019-01-28,/courses/thank-you-for-your-application/,(entrance),(not set),0,0
2019-01-28,/courses/thank-you-for-your-application/,/courses/professional-software-development/,(entrance),0,0
2019-01-28,/enquire/thank-you-for-your-enquiry/,/for-employers/become-a-partner/,/courses/understanding-programming/,1,1
2019-01-28,/enquire/thank-you-for-your-enquiry/,/for-employers/become-a-partner/,/for-employers/hire-with-codeclan/,0,0
2019-01-28,/events/info-taster-session-events/,(entrance),(not set),0,0
2019-01-28,/events/info-taster-session-events/,/,(entrance),0,0
2019-01-28,/events/info-taster-session-events/,/events/,/courses/professional-software-development/,0,0
2019-01-29,/courses/professional-software-development/thank-you-syllabus-download/,/courses/professional-software-development/,/courses/professional-software-development/curriculum/,0,0
2019-01-29,/events/info-taster-session-events/,(entrance),(not set),0,0
2019-01-29,/events/info-taster-session-events/,/courses/professional-software-development/curriculum/,/courses/professional-software-development/,0,0
2019-01-29,/events/info-taster-session-events/,/events/,/about-us/,0,1
2019-01-29,/events/info-taster-session-events/,/events/info-taster-session-events/,(entrance),0,1
2019-01-29,/updates/newsletter-thank-you/,/,(entrance),0,0
2019-01-30,/courses/professional-software-development/thank-you-syllabus-download/,/courses/professional-software-development/,/courses/understanding-programming/,0,1
2019-01-30,/courses/professional-software-development/thank-you-syllabus-download/,/courses/professional-software-development/,/the-codeclan-experience/,0,1
2019-01-30,/courses/thank-you-for-your-application/,(entrance),(not set),1,0
2019-01-30,/courses/thank-you-for-your-application/,/courses/professional-software-development/apply/course_application_2,/courses/professional-software-development/apply/course_application_1,0,0
2019-01-30,/courses/thank-you-for-your-application/,/the-codeclan-experience/a-typical-day/,/courses/professional-software-development/,0,1
2019-01-30,/enquire/thank-you-for-your-enquiry/,/enquire/,/courses/professional-software-development/,0,1
2019-01-30,/events/info-taster-session-events/,/,(entrance),0,0
2019-01-30,/events/info-taster-session-events/,/blog/why-learn-coding/,/,0,0
2019-01-30,/events/info-taster-session-events/,/courses/professional-software-development/,/courses/,0,0
2019-01-30,/events/info-taster-session-events/,/events/,/courses/professional-software-development/curriculum/,0,0
2019-01-30,/events/info-taster-session-events/,/tech-boom/,(entrance),0,1
2019-01-30,/events/info-taster-session-events/,/tech-boom/,/courses/understanding-programming/,0,0
2019-01-30,/events/info-taster-session-events/,/the-codeclan-experience/the-alumni/,/courses/professional-software-development/curriculum/,3,0
2019-01-30,/updates/newsletter-thank-you/,/tech-boom/,(entrance),1,0
2019-01-31,/courses/professional-software-development/thank-you-syllabus-download/,/courses/professional-software-development/,/courses/professional-software-development/curriculum/,0,0
2019-01-31,/enquire/thank-you-for-your-enquiry/,/enquire/,/,0,1
2019-01-31,/enquire/thank-you-for-your-enquiry/,/enquire/,/courses/,0,0
2019-01-31,/events/info-taster-session-events/,/tech-boom/,(entrance),0,0
2019-01-31,/updates/newsletter-thank-you/,/tech-boom/,(entrance),0,0
2019-02-01,/courses/professional-software-development/thank-you-syllabus-download/,/courses/professional-software-development/,(entrance),0,0
2019-02-01,/courses/thank-you-for-joining-our-short-course/,/courses/r-programming/,(entrance),0,0
2019-02-01,/enquire/thank-you-for-your-enquiry/,/enquire/,/courses/professional-software-development/thank-you-syllabus-download/,1,1
2019-02-01,/enquire/thank-you-for-your-enquiry/,/enquire/,/enquire/,0,1
2019-02-01,/enquire/thank-you-for-your-enquiry/,/for-employers/become-a-partner/,/for-employers/community-outreach/,0,0
2019-02-01,/enquire/thank-you-for-your-enquiry/,/for-employers/become-a-partner/,/for-employers/hire-with-codeclan/,0,1
2019-02-01,/events/info-taster-session-events/,/courses/professional-software-development/,/courses/,0,0
2019-02-01,/events/info-taster-session-events/?mc_cid=04e78ebf46&mc_eid=69605393a4,(entrance),(not set),0,0
2019-02-01,/updates/newsletter-thank-you/,/tech-boom/,(entrance),0,1
2019-02-02,(entrance),(not set),(not set),0,1
2019-02-02,/courses/thank-you-for-joining-our-short-course/,/courses/r-programming/,/courses/,0,0
2019-02-02,/courses/thank-you-for-your-application/,/courses/professional-software-development/apply/course_application_2,/courses/professional-software-development/apply/course_application_1,0,0
2019-02-02,/events/info-taster-session-events/,(entrance),(not set),0,1
2019-02-02,/events/info-taster-session-events/,/,/courses/bespoke-courses/,1,0
2019-02-02,/events/info-taster-session-events/,/,/courses/professional-software-development/,0,0
2019-02-02,/events/info-taster-session-events/,/events/,/courses/thank-you-for-joining-our-short-course/,1,1
2019-02-02,/updates/newsletter-thank-you/,/tech-boom/,(entrance),1,0
2019-02-03,/events/info-taster-session-events/,/enquire/,/codeclan-store/,0,0
2019-02-03,/updates/newsletter-thank-you/,/tech-boom/,(entrance),0,0
2019-02-04,/courses/professional-software-development/thank-you-syllabus-download/,/courses/professional-software-development/,/courses/professional-software-development/application-and-dates/,0,0
2019-02-04,/courses/thank-you-for-joining-our-short-course/,(entrance),(not set),0,0
2019-02-04,/enquire/thank-you-for-your-enquiry/,/for-employers/become-a-partner/,/for-employers/hire-with-codeclan/,0,1
2019-02-04,/events/info-taster-session-events/,/,(entrance),0,1
2019-02-04,/events/info-taster-session-events/,/,/courses/professional-software-development/,0,1
2019-02-04,/events/info-taster-session-events/,/courses/professional-software-development/,(entrance),0,1
2019-02-04,/events/info-taster-session-events/,/courses/professional-software-development/,/courses/,0,0
2019-02-04,/events/info-taster-session-events/,/courses/professional-software-development/?from=singlemessage&isappinstalled=0,(entrance),0,0
2019-02-04,/events/info-taster-session-events/,/events/,(entrance),0,0
2019-02-04,/events/info-taster-session-events/,/events/,/courses/professional-software-development/apply/,1,0
2019-02-04,/updates/newsletter-thank-you/,/,/events/info-taster-session-events/,0,0
2019-02-05,/courses/professional-software-development/thank-you-syllabus-download/,/courses/professional-software-development/,/,0,0
2019-02-05,/enquire/thank-you-for-your-enquiry/,/courses/professional-software-development/cost-and-funding/,/courses/professional-software-development/cost-and-funding/,0,1
2019-02-05,/enquire/thank-you-for-your-enquiry/,/for-employers/become-a-partner/,/for-employers/,0,0
2019-02-05,/events/info-taster-session-events/,/,(entrance),1,0
2019-02-05,/events/info-taster-session-events/,/,/,0,3
2019-02-05,/events/info-taster-session-events/,/about-us/join-us/,/courses/,0,0
2019-02-05,/events/info-taster-session-events/,/courses/professional-software-development/,/courses/,0,0
2019-02-05,/events/info-taster-session-events/,/courses/professional-software-development/application-and-dates/,/courses/professional-software-development/application-and-dates/,0,0
2019-02-05,/events/info-taster-session-events/,/highlands-academy/,/,0,0
2019-02-06,/courses/thank-you-for-your-application/,/courses/professional-software-development/apply/course_application_2,/courses/professional-software-development/apply/course_application_1,0,1
2019-02-06,/enquire/thank-you-for-your-enquiry/,/for-employers/become-a-partner/,/for-employers/,1,0
2019-02-06,/events/info-taster-session-events/,(entrance),(not set),0,0
2019-02-06,/events/info-taster-session-events/,/codeclan-store/,/about-us/,0,0
2019-02-06,/events/info-taster-session-events/,/courses/professional-software-development/,(entrance),2,0
2019-02-06,/events/info-taster-session-events/,/courses/professional-software-development/,/,0,0
2019-02-06,/events/info-taster-session-events/,/events/,(entrance),1,0
2019-02-06,/events/info-taster-session-events/,/the-codeclan-experience/a-typical-day/,/the-codeclan-experience/,1,0
2019-02-06,/updates/newsletter-thank-you/,(entrance),(not set),0,0
2019-02-06,/updates/newsletter-thank-you/,/tech-boom/,(entrance),0,1
2019-02-07,/blog/towards-a-diverse-tech-industry-meet-vicky-junior-software-developer/?mc_cid=04e78ebf46&mc_eid=c3e3d14e74,/blog/tech-boom-campaign/?mc_cid=04e78ebf46&mc_eid=c3e3d14e74,/blog/claires-coding-journey-from-hobby-to-career/?mc_cid=04e78ebf46&mc_eid=c3e3d14e74,0,1
2019-02-07,/courses/professional-software-development/thank-you-syllabus-download/,/courses/professional-software-development/,/courses/professional-software-development/application-and-dates/,0,1
2019-02-07,/courses/professional-software-development/thank-you-syllabus-download/,/courses/professional-software-development/,/courses/professional-software-development/curriculum/,0,1
2019-02-07,/courses/thank-you-for-joining-our-short-course/,/courses/agile-for-effective-teams/,/courses/,0,1
2019-02-07,/courses/thank-you-for-your-application/,(entrance),(not set),0,1
2019-02-07,/enquire/thank-you-for-your-enquiry/,/enquire/,/courses/,0,0
2019-02-07,/enquire/thank-you-for-your-enquiry/,/enquire/,/courses/professional-software-development/application-and-dates/,0,0
2019-02-07,/events/info-taster-session-events/,/,(entrance),3,0
2019-02-07,/events/info-taster-session-events/,/courses/professional-software-development/,/,0,0
2019-02-07,/updates/newsletter-thank-you/,/tech-boom/,(entrance),1,0
2019-02-08,/courses/professional-software-development/thank-you-syllabus-download/,/courses/professional-software-development/,/courses/professional-software-development/curriculum/,0,0
2019-02-08,/courses/professional-software-development/thank-you-syllabus-download/,/courses/professional-software-development/,/the-codeclan-experience/a-typical-day/,0,0
2019-02-08,/courses/thank-you-for-joining-our-short-course/,/courses/r-programming/,(entrance),0,2
2019-02-08,/courses/thank-you-for-your-application/,/courses/professional-software-development/apply/course_application_2,/courses/professional-software-development/apply/course_application_1,0,0
2019-02-08,/enquire/thank-you-for-your-enquiry/,/enquire/,/,0,0
2019-02-08,/events/info-taster-session-events/,/courses/professional-software-development/,/courses/,0,1
2019-02-08,/events/info-taster-session-events/,/events/,(entrance),0,0
2019-02-08,/updates/newsletter-thank-you/,/tech-boom/,(entrance),0,1
2019-02-09,/courses/professional-software-development/thank-you-syllabus-download/,(entrance),(not set),0,1
2019-02-09,/courses/professional-software-development/thank-you-syllabus-download/,/courses/professional-software-development/,/courses/professional-software-development/apply/,0,1
2019-02-09,/courses/professional-software-development/thank-you-syllabus-download/,/courses/professional-software-development/,/courses/professional-software-development/curriculum/,0,0
2019-02-09,/courses/thank-you-for-joining-our-short-course/,/courses/r-programming/,/,0,1
2019-02-09,/events/info-taster-session-events/,(entrance),(not set),3,0
2019-02-09,/events/info-taster-session-events/,/about-us/join-us/,/for-employers/employer-case-studies/,0,1
2019-02-10,/courses/professional-software-development/thank-you-syllabus-download/,(entrance),(not set),0,1
2019-02-10,/courses/thank-you-for-joining-our-short-course/,/courses/r-programming/,(entrance),0,0
2019-02-10,/events/info-taster-session-events/,/,(entrance),0,0
2019-02-10,/events/info-taster-session-events/,/events/,/blog/new-job-in-digital-codeclan/,0,1
2019-02-10,/events/info-taster-session-events/,/events/other-events/,/events/,1,0
2019-02-10,/updates/newsletter-thank-you/,/tech-boom/,(entrance),1,0
2019-02-11,/courses/professional-software-development/thank-you-syllabus-download/,(entrance),(not set),1,0
2019-02-11,/courses/professional-software-development/thank-you-syllabus-download/,/courses/professional-software-development/,/,0,1
2019-02-11,/courses/professional-software-development/thank-you-syllabus-download/,/courses/professional-software-development/,/courses/browse-all-course-dates/,0,0
2019-02-11,/courses/professional-software-development/thank-you-syllabus-download/,/courses/professional-software-development/,/courses/professional-software-development/application-and-dates/,0,0
2019-02-11,/events/info-taster-session-events/,/,(entrance),0,0
2019-02-11,/updates/newsletter-thank-you/,/,/codeclan-store/winter-beanie/,0,0
2019-02-11,/updates/newsletter-thank-you/,/blog/why-learn-coding/,/courses/professional-software-development/,0,1
2019-02-11,/updates/newsletter-thank-you/,/tech-boom/,(entrance),0,0
2019-02-12,/courses/professional-software-development/thank-you-syllabus-download/,(entrance),(not set),0,0
2019-02-12,/courses/professional-software-development/thank-you-syllabus-download/,/courses/professional-software-development/,/courses/professional-software-development/,0,1
2019-02-12,/courses/professional-software-development/thank-you-syllabus-download/,/courses/professional-software-development/,/courses/professional-software-development/curriculum/,0,0
2019-02-12,/courses/professional-software-development/thank-you-syllabus-download/,/courses/professional-software-development/curriculum/,/courses/professional-software-development/,0,0
2019-02-12,/courses/thank-you-for-your-application/,(entrance),(not set),1,0
2019-02-12,/events/info-taster-session-events/,/,(entrance),0,0
2019-02-12,/events/info-taster-session-events/,/events/,(entrance),0,1
2019-02-12,/events/info-taster-session-events/,/events/,/courses/,0,0
2019-02-13,/courses/professional-software-development/thank-you-syllabus-download/,/courses/professional-software-development/,/,1,0
2019-02-13,/courses/professional-software-development/thank-you-syllabus-download/,/courses/professional-software-development/,/courses/,0,0
2019-02-13,/courses/professional-software-development/thank-you-syllabus-download/,/courses/professional-software-development/,/courses/professional-software-development/curriculum/,0,0
2019-02-13,/courses/professional-software-development/thank-you-syllabus-download/,/courses/professional-software-development/,/the-codeclan-experience/a-typical-day/,0,0
2019-02-13,/courses/thank-you-for-your-application/,/courses/professional-software-development/apply/course_application_2,/courses/,0,0
2019-02-13,/enquire/thank-you-for-your-enquiry/,/enquire/,/,0,1
2019-02-13,/enquire/thank-you-for-your-enquiry/,/enquire/,/courses/professional-software-development/thank-you-syllabus-download/,0,0
2019-02-13,/enquire/thank-you-for-your-enquiry/,/enquire/,/tech-boom/,0,0
2019-02-13,/enquire/thank-you-for-your-enquiry/,/for-employers/become-a-partner/,/for-employers/,1,1
2019-02-13,/events/info-taster-session-events/,(entrance),(not set),0,0
2019-02-14,(entrance),(not set),(not set),0,0
2019-02-14,/courses/professional-software-development/thank-you-syllabus-download/,/courses/professional-software-development/,/courses/professional-software-development/career-support/,0,0
2019-02-14,/courses/professional-software-development/thank-you-syllabus-download/,/courses/professional-software-development/curriculum/,(entrance),0,1
2019-02-14,/courses/thank-you-for-joining-our-short-course/,/courses/r-programming/,/courses/r-programming/,0,0
2019-02-14,/courses/thank-you-for-your-application/,(entrance),(not set),0,0
2019-02-14,/events/info-taster-session-events/,/,(entrance),0,0
2019-02-14,/events/info-taster-session-events/,/courses/professional-software-development/,/,1,0
2019-02-15,/courses/professional-software-development/thank-you-syllabus-download/,/courses/professional-software-development/,/courses/professional-software-development/curriculum/,1,0
2019-02-15,/enquire/thank-you-for-your-enquiry/,/enquire/,/,0,0
2019-02-15,/events/info-taster-session-events/,/,(entrance),1,0
2019-02-15,/events/info-taster-session-events/,/courses/professional-software-development/,/,0,0
2019-02-15,/events/info-taster-session-events/,/events/,/,0,0
2019-02-16,/courses/professional-software-development/thank-you-syllabus-download/,/courses/professional-software-development/,/,0,1
2019-02-16,/courses/professional-software-development/thank-you-syllabus-download/,/courses/professional-software-development/,/courses/professional-software-development/curriculum/,0,1
2019-02-16,/enquire/thank-you-for-your-enquiry/,(entrance),(not set),0,1
2019-02-16,/enquire/thank-you-for-your-enquiry/,/enquire/,/courses/professional-software-development/apply/,0,0
2019-02-16,/events/info-taster-session-events/,(entrance),(not set),0,0
2019-02-16,/events/info-taster-session-events/,/,/courses/browse-all-course-dates/,0,0
2019-02-16,/events/info-taster-session-events/,/courses/professional-software-development/,/courses/,0,0
2019-02-16,/events/info-taster-session-events/,/courses/professional-software-development/apply/,/courses/professional-software-development/,1,0
2019-02-17,/courses/thank-you-for-your-application/,/courses/professional-software-development/apply/course_application_2,/courses/professional-software-development/apply/course_application_1,0,0
2019-02-17,/events/info-taster-session-events/,/courses/professional-software-development/,/,1,0
2019-02-18,/courses/professional-software-development/thank-you-syllabus-download/,/courses/professional-software-development/,(entrance),0,0
2019-02-18,/courses/professional-software-development/thank-you-syllabus-download/,/courses/professional-software-development/,/courses/,0,0
2019-02-18,/courses/professional-software-development/thank-you-syllabus-download/,/courses/professional-software-development/,/courses/professional-software-development/curriculum/,0,0
2019-02-18,/courses/thank-you-for-your-application/,(entrance),(not set),0,0
2019-02-18,/courses/thank-you-for-your-application/,/courses/professional-software-development/apply/course_application_2,/courses/professional-software-development/apply/course_application_1,0,0
2019-02-18,/enquire/thank-you-for-your-enquiry/,/enquire/,/courses/professional-software-development/,0,0
2019-02-18,/events/info-taster-session-events/,/,(entrance),0,0
2019-02-18,/events/info-taster-session-events/,/about-us/our-team/our-board/,/about-us/our-team/,0,0
2019-02-18,/events/info-taster-session-events/,/courses/professional-software-development/,/,0,0
2019-02-18,/events/info-taster-session-events/,/events/,/courses/professional-software-development/course-cost-faqs/,0,0
2019-02-18,/events/info-taster-session-events/,/events/,/for-employers/employer-case-studies/,0,0
2019-02-18,/updates/newsletter-thank-you/,/blog/9-websites-start-coding-journey/?mc_cid=6eb5122af8&mc_eid=e7ac6db3f7,(entrance),0,0
2019-02-19,/courses/professional-software-development/thank-you-syllabus-download/,/courses/professional-software-development/,/courses/,0,0
2019-02-19,/courses/professional-software-development/thank-you-syllabus-download/,/courses/professional-software-development/,/courses/professional-software-development/curriculum/,0,0
2019-02-19,/courses/thank-you-for-joining-our-short-course/,/courses/understanding-programming/,/,0,0
2019-02-19,/courses/thank-you-for-your-application/,/courses/professional-software-development/apply/course_application_2,/courses/professional-software-development/apply/course_application_1,0,0
2019-02-19,/enquire/thank-you-for-your-enquiry/,/courses/bespoke-courses/,(entrance),0,0
2019-02-19,/enquire/thank-you-for-your-enquiry/,/for-employers/become-a-partner/,/for-employers/,0,1
2019-02-19,/events/info-taster-session-events/,/courses/professional-software-development/,/,0,0
2019-02-19,/events/info-taster-session-events/,/events/,/courses/,0,0
2019-02-20,/courses/professional-software-development/thank-you-syllabus-download/,/courses/professional-software-development/,/courses/,0,0
2019-02-20,/courses/professional-software-development/thank-you-syllabus-download/,/courses/professional-software-development/,/courses/professional-software-development/curriculum/,1,0
2019-02-20,/courses/thank-you-for-your-application/,(entrance),(not set),0,0
2019-02-20,/enquire/thank-you-for-your-enquiry/,/enquire/,/,0,0
2019-02-20,/events/info-taster-session-events/,(entrance),(not set),0,0
2019-02-20,/events/info-taster-session-events/,/,(entrance),1,0
2019-02-20,/events/info-taster-session-events/,/courses/professional-software-development/,/,0,1
2019-02-20,/events/info-taster-session-events/,/events/,/about-us/,0,0
2019-02-21,/courses/professional-software-development/thank-you-syllabus-download/,/courses/professional-software-development/,/courses/intro-to-r/,0,0
2019-02-21,/courses/professional-software-development/thank-you-syllabus-download/,/courses/professional-software-development/,/courses/professional-software-development/application-and-dates/,0,1
2019-02-21,/courses/professional-software-development/thank-you-syllabus-download/,/courses/professional-software-development/,/courses/professional-software-development/cost-and-funding/,0,0
2019-02-21,/courses/professional-software-development/thank-you-syllabus-download/,/courses/professional-software-development/,/courses/professional-software-development/curriculum/,0,0
2019-02-21,/courses/thank-you-for-joining-our-short-course/?uxfund=,/courses/intro-to-r/,/,0,0
2019-02-21,/courses/thank-you-for-your-application/,(entrance),(not set),0,0
2019-02-21,/enquire/thank-you-for-your-enquiry/,/courses/,/enquire/,0,0
2019-02-21,/events/info-taster-session-events/,/events/,/,0,0
